stationid,highwayid,milepost,locationtext,length,upstream,downstream,numberlanes,length_mid,downstream_mile,upstream_mile,agencyid,opposite_stationid,segment_geom,station_geom,start_date,end_date,lon,lat,detectortype,detectorlocation,agency,region,active_dates,id,station_location_id
3195,4,5.39,Blankenship (2DS002) @ SB I-205 MP5.39,1.615,10574,1114,2,1.615,4.125,5.740,267,,0102000020110F00001F00000080B740CE510B6AC1A80A461141A85541280F0B21560B6AC1B069DEA950A855413889419C5F0B6AC1280F0B8D74A855410C93A9BC670B6AC1F041CFFA92A85541A679C7FD770B6AC180B7400ECFA85541EC2FBB11820B6AC118D9CE77F0A8554148E17AD68B0B6AC120D26FEB0EA9554152B81E49930B6AC1684469E324A955416C09F9BA9F0B6AC1383CBD1647A95541DE9387FDAA0B6AC170F0850164A95541E61DA7D2B30B6AC1480378377AA955419ECDAAC5C00B6AC1D04D62E497A9554114AE4795CB0B6AC190A98271AFA95541B6627FADD30B6AC190A98229C0A9554108CE19E7D90B6AC198658843CCA95541355EBA05E10B6AC15817B7D9D8A955410C71ACEFE80B6AC1907EFBB2E5A95541C898BBE0F30B6AC170CE88DAF5A955414AEA04D2FC0B6AC168B3EAD701AA5541143FC6920C0C6AC1886CE72F14AA5541CE1951B41A0C6AC1A05E293722AA55412C65198C280C6AC1682BF6472DAA5541B9FC87AC370C6AC160BA492037AA5541DA1B7C25420C6AC1285C8FF23DAA55414850FC324D0C6AC1703D0A2F43AA5541764F1E60580C6AC15027A08547AA5541627FD99F6D0C6AC17824976B4DAA5541DC460308780C6AC1901804AE4FAA554187A7576C8C0C6AC1302AA90353AA55415EBA4986990C6AC10000008455AA55418E976EAAA30C6AC1D81B7C1156AA5541,0101000020110F00005D61050E860B6AC1320B05BBDDA85541,2019-03-19 10:11:00-07,,-122.6657465,45.35727081,,,ODOT,,"[2019-03-19,)",655187,142
3195,4,5.39,Blankenship (2DS002) @ SB I-205 MP5.39,1.615,5115,1114,2,1.615,4.125,5.740,267,,0102000020110F00001F00000080B740CE510B6AC1A80A461141A85541280F0B21560B6AC1B069DEA950A855413889419C5F0B6AC1280F0B8D74A855410C93A9BC670B6AC1F041CFFA92A85541A679C7FD770B6AC180B7400ECFA85541EC2FBB11820B6AC118D9CE77F0A8554148E17AD68B0B6AC120D26FEB0EA9554152B81E49930B6AC1684469E324A955416C09F9BA9F0B6AC1383CBD1647A95541DE9387FDAA0B6AC170F0850164A95541E61DA7D2B30B6AC1480378377AA955419ECDAAC5C00B6AC1D04D62E497A9554114AE4795CB0B6AC190A98271AFA95541B6627FADD30B6AC190A98229C0A9554108CE19E7D90B6AC198658843CCA95541355EBA05E10B6AC15817B7D9D8A955410C71ACEFE80B6AC1907EFBB2E5A95541C898BBE0F30B6AC170CE88DAF5A955414AEA04D2FC0B6AC168B3EAD701AA5541143FC6920C0C6AC1886CE72F14AA5541CE1951B41A0C6AC1A05E293722AA55412C65198C280C6AC1682BF6472DAA5541B9FC87AC370C6AC160BA492037AA5541DA1B7C25420C6AC1285C8FF23DAA55414850FC324D0C6AC1703D0A2F43AA5541764F1E60580C6AC15027A08547AA5541627FD99F6D0C6AC17824976B4DAA5541DC460308780C6AC1901804AE4FAA554187A7576C8C0C6AC1302AA90353AA55415EBA4986990C6AC10000008455AA55418E976EAAA30C6AC1D81B7C1156AA5541,0101000020110F00005D61050E860B6AC1320B05BBDDA85541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.6657465,45.35727081,,,ODOT,,"[2014-10-23,2014-10-24)",638755,142
3103,3,7.6,Viewpoint (2DS003) @ NB I-205 MP7.6,0.960,1116,1109,2,0.960,8.200,7.240,264,,0102000020110F000014000000A2B43724E2096AC1100BB5BE97A75541431CEBECDA096AC1483789499AA75541C66D34BECE096AC1489D80AE9FA7554179E92675C3096AC198081BCAA5A755413108ACFCB9096AC1D812F2F9ABA75541C876BEC3A9096AC110022B03B8A75541643BDF9B9F096AC1A023B954C1A75541265305739A096AC1B8AF03CBC6A755415917B7EF88096AC19028EDA9DAA75541355EBAE17C096AC1283A9227E9A755410E2DB23773096AC1585BB19BF6A75541AEB662CF67096AC1204A7BDB07A85541DAACFA4A5F096AC1D8C56D0014A855419465882555096AC198E61D6724A855412DB29D671C096AC1B01C5A2086A855418E75717112096AC1B8FC87E897A85541BEC1176A09096AC1B00C7124A8A8554121B07298FC086AC198DD9373BDA855413CBD5226F0086AC188DB6800D4A85541923A01A1EF086AC1E873B5F1D4A85541,0101000020110F000009E89DEB78096AC16D8A2EB1ECA75541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.6280076,45.3511844392624,,,ODOT,,"[2014-10-23,2014-10-24)",638815,139
3103,3,7.6,Viewpoint (2DS003) @ NB I-205 MP7.6,0.835,10573,10576,2,0.835,8.080,7.245,264,,0102000020110F000014000000A2B43724E2096AC1100BB5BE97A75541431CEBECDA096AC1483789499AA75541C66D34BECE096AC1489D80AE9FA7554179E92675C3096AC198081BCAA5A755413108ACFCB9096AC1D812F2F9ABA75541C876BEC3A9096AC110022B03B8A75541643BDF9B9F096AC1A023B954C1A75541265305739A096AC1B8AF03CBC6A755415917B7EF88096AC19028EDA9DAA75541355EBAE17C096AC1283A9227E9A755410E2DB23773096AC1585BB19BF6A75541AEB662CF67096AC1204A7BDB07A85541DAACFA4A5F096AC1D8C56D0014A855419465882555096AC198E61D6724A855412DB29D671C096AC1B01C5A2086A855418E75717112096AC1B8FC87E897A85541BEC1176A09096AC1B00C7124A8A8554121B07298FC086AC198DD9373BDA855413CBD5226F0086AC188DB6800D4A85541923A01A1EF086AC1E873B5F1D4A85541,0101000020110F000009E89DEB78096AC16D8A2EB1ECA75541,2019-10-14 19:20:40-07,,-122.6280076,45.3511844392624,,,ODOT,,"[2019-10-14,)",655931,139
3103,3,7.6,Viewpoint (2DS003) @ NB I-205 MP7.6,0.955,10573,1109,2,0.955,8.200,7.245,264,,0102000020110F000014000000A2B43724E2096AC1100BB5BE97A75541431CEBECDA096AC1483789499AA75541C66D34BECE096AC1489D80AE9FA7554179E92675C3096AC198081BCAA5A755413108ACFCB9096AC1D812F2F9ABA75541C876BEC3A9096AC110022B03B8A75541643BDF9B9F096AC1A023B954C1A75541265305739A096AC1B8AF03CBC6A755415917B7EF88096AC19028EDA9DAA75541355EBAE17C096AC1283A9227E9A755410E2DB23773096AC1585BB19BF6A75541AEB662CF67096AC1204A7BDB07A85541DAACFA4A5F096AC1D8C56D0014A855419465882555096AC198E61D6724A855412DB29D671C096AC1B01C5A2086A855418E75717112096AC1B8FC87E897A85541BEC1176A09096AC1B00C7124A8A8554121B07298FC086AC198DD9373BDA855413CBD5226F0086AC188DB6800D4A85541923A01A1EF086AC1E873B5F1D4A85541,0101000020110F000009E89DEB78096AC16D8A2EB1ECA75541,2019-03-19 10:11:00-07,2019-10-14 19:20:40-07,-122.6280076,45.3511844392624,,,ODOT,,"[2019-03-19,2019-10-14)",655210,139
3103,3,7.6,Viewpoint (2DS003) @ NB I-205 MP7.6,0.960,1116,1109,2,0.960,8.200,7.240,264,,0102000020110F000014000000A2B43724E2096AC1100BB5BE97A75541431CEBECDA096AC1483789499AA75541C66D34BECE096AC1489D80AE9FA7554179E92675C3096AC198081BCAA5A755413108ACFCB9096AC1D812F2F9ABA75541C876BEC3A9096AC110022B03B8A75541643BDF9B9F096AC1A023B954C1A75541265305739A096AC1B8AF03CBC6A755415917B7EF88096AC19028EDA9DAA75541355EBAE17C096AC1283A9227E9A755410E2DB23773096AC1585BB19BF6A75541AEB662CF67096AC1204A7BDB07A85541DAACFA4A5F096AC1D8C56D0014A855419465882555096AC198E61D6724A855412DB29D671C096AC1B01C5A2086A855418E75717112096AC1B8FC87E897A85541BEC1176A09096AC1B00C7124A8A8554121B07298FC086AC198DD9373BDA855413CBD5226F0086AC188DB6800D4A85541923A01A1EF086AC1E873B5F1D4A85541,0101000020110F000009E89DEB78096AC16D8A2EB1ECA75541,2015-03-10 14:45:20-07,2019-03-19 10:11:00-07,-122.6280076,45.3511844392624,,,ODOT,,"[2015-03-10,2019-03-19)",641609,139
3104,4,7.6,Viewpoint (2DS003) @ SB I-205 MP7.6,1.125,1104,1115,2,1.125,6.925,8.050,268,,0102000020110F000019000000F775E06E13096AC1686FF009A0A85541C6FEB20319096AC1D044D8E496A855416E3480492F096AC1E0C7980B72A855413B70CE903C096AC140575BC15CA8554145D8F0EC4B096AC160A1D67443A855412AA913705C096AC1982A18D928A85541FF21FD726B096AC1F8285C8B11A85541705F07D275096AC188635D6401A855418CB96B0582096AC1B8AF03F3EFA755412FDD24D88E096AC1483789C1DFA75541FE43FA0D99096AC1701B0D5CD4A755417AA52C5DA3096AC180D93D59CAA75541ADFA5CDBAC096AC1D8D7811BC2A75541E02D903AB6096AC17046948EBAA755410612145DBF096AC1888EE45AB4A75541D578E9DAC9096AC1B88D06FCADA75541D88173E2D3096AC1B07268B9A8A75541894160A3D5096AC120A7E80CA8A75541D88173CEE4096AC140575B39A2A7554158CA328EF0096AC190C2F5E49EA755414EF38E45FD096AC178F2B0409CA75541A913D000100A6AC1F041CF3299A75541F0A7C681220A6AC1B8A6791F96A75541A679C7BD320A6AC17824976793A75541F697DDC5410A6AC180D93DF58FA75541,0101000020110F0000C41C0DBE7E096AC16B3F3571F7A75541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.628426,45.3514559,,,ODOT,,"[2014-10-23,2014-10-24)",638861,143
3104,4,7.6,Viewpoint (2DS003) @ SB I-205 MP7.6,0.805,1104,10572,2,0.805,7.245,8.050,268,,0102000020110F000019000000F775E06E13096AC1686FF009A0A85541C6FEB20319096AC1D044D8E496A855416E3480492F096AC1E0C7980B72A855413B70CE903C096AC140575BC15CA8554145D8F0EC4B096AC160A1D67443A855412AA913705C096AC1982A18D928A85541FF21FD726B096AC1F8285C8B11A85541705F07D275096AC188635D6401A855418CB96B0582096AC1B8AF03F3EFA755412FDD24D88E096AC1483789C1DFA75541FE43FA0D99096AC1701B0D5CD4A755417AA52C5DA3096AC180D93D59CAA75541ADFA5CDBAC096AC1D8D7811BC2A75541E02D903AB6096AC17046948EBAA755410612145DBF096AC1888EE45AB4A75541D578E9DAC9096AC1B88D06FCADA75541D88173E2D3096AC1B07268B9A8A75541894160A3D5096AC120A7E80CA8A75541D88173CEE4096AC140575B39A2A7554158CA328EF0096AC190C2F5E49EA755414EF38E45FD096AC178F2B0409CA75541A913D000100A6AC1F041CF3299A75541F0A7C681220A6AC1B8A6791F96A75541A679C7BD320A6AC17824976793A75541F697DDC5410A6AC180D93DF58FA75541,0101000020110F0000C41C0DBE7E096AC16B3F3571F7A75541,2019-03-19 10:11:00-07,,-122.628426,45.3514559,,,ODOT,,"[2019-03-19,)",655042,143
3104,4,7.6,Viewpoint (2DS003) @ SB I-205 MP7.6,1.125,1104,1115,2,1.125,6.925,8.050,268,,0102000020110F000019000000F775E06E13096AC1686FF009A0A85541C6FEB20319096AC1D044D8E496A855416E3480492F096AC1E0C7980B72A855413B70CE903C096AC140575BC15CA8554145D8F0EC4B096AC160A1D67443A855412AA913705C096AC1982A18D928A85541FF21FD726B096AC1F8285C8B11A85541705F07D275096AC188635D6401A855418CB96B0582096AC1B8AF03F3EFA755412FDD24D88E096AC1483789C1DFA75541FE43FA0D99096AC1701B0D5CD4A755417AA52C5DA3096AC180D93D59CAA75541ADFA5CDBAC096AC1D8D7811BC2A75541E02D903AB6096AC17046948EBAA755410612145DBF096AC1888EE45AB4A75541D578E9DAC9096AC1B88D06FCADA75541D88173E2D3096AC1B07268B9A8A75541894160A3D5096AC120A7E80CA8A75541D88173CEE4096AC140575B39A2A7554158CA328EF0096AC190C2F5E49EA755414EF38E45FD096AC178F2B0409CA75541A913D000100A6AC1F041CF3299A75541F0A7C681220A6AC1B8A6791F96A75541A679C7BD320A6AC17824976793A75541F697DDC5410A6AC180D93DF58FA75541,0101000020110F0000C41C0DBE7E096AC16B3F3571F7A75541,2015-03-10 14:45:20-07,2019-03-19 10:11:00-07,-122.628426,45.3514559,,,ODOT,,"[2015-03-10,2019-03-19)",641519,143
3164,3,21.68,Halsey (2DS004) @ NB I-205 MP21.68,1.075,1142,3106,3,1.075,22.475,21.400,273,,0102000020110F000019000000DE93870D0C066AC160E5D03A98C35541AA6054F209066AC170E7FB25CAC35541CDCCCCE608066AC120DBF906D8C355414E62109E06066AC1F0B0505BF6C3554190C2F56E04066AC118C05B980EC45541A0F8313E04066AC1E00B93B510C45541386744CD03066AC1D8C56D3416C45541F9A0674103066AC1F0B050031DC45541EA73B5A702066AC1D8F97E7E24C455410C71AC01FD056AC100780B8458C455413E7958F4F8056AC1D019517E89C455411826534BF4056AC1D878E9DEC1C45541F6B9DACAF1056AC1C07D1DB4E1C45541F263CC7BF0056AC1004D8409F0C45541A4DFBE2EEE056AC160EE5AC206C555419A081B36EB056AC198900FE21CC55541A01A2F9BE7056AC1B003E75838C55541C07D1DACE5056AC168BC744349C555411C7C6126DD056AC1B01C5A688AC555415A643B87D5056AC1A83E577BBEC555417A36ABA6D2056AC1509621A6D5C55541E09C1173CF056AC1B8F3FDA4EBC55541BBB88D4ECC056AC100917E9304C655410C71ACE7C9056AC120EBE20A18C6554179E9261FC9056AC1D8D781131FC65541,0101000020110F0000048BF733FF056AC164D335FC63C45541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.564067862158,45.5349038863559,,,ODOT,,"[2014-10-23,2014-10-24)",638550,148
